GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Under .50,Margin of Error; Total: - Under .50,Estimate; Total: - .50 to .99,Margin of Error; Total: - .50 to .99,Estimate; Total: - 1.00 to 1.24,Margin of Error; Total: - 1.00 to 1.24,Estimate; Total: - 1.25 to 1.49,Margin of Error; Total: - 1.25 to 1.49,Estimate; Total: - 1.50 to 1.84,Margin of Error; Total: - 1.50 to 1.84,Estimate; Total: - 1.85 to 1.99,Margin of Error; Total: - 1.85 to 1.99,Estimate; Total: - 2.00 and over,Margin of Error; Total: - 2.00 and over
1400000US44005040103,44005040103,"Census Tract 401.03, Newport County, Rhode Island",6133,432,81,80,223,114,270,220,75,55,75,81,134,154,5275,502
1400000US44005040200,44005040200,"Census Tract 402, Newport County, Rhode Island",1510,260,18,29,187,201,16,27,97,93,81,63,0,13,1111,230
1400000US44005040302,44005040302,"Census Tract 403.02, Newport County, Rhode Island",2478,235,0,13,117,76,109,92,84,69,97,69,83,95,1988,288
1400000US44005040303,44005040303,"Census Tract 403.03, Newport County, Rhode Island",3138,273,162,112,140,147,15,22,143,101,565,295,53,63,2060,383
1400000US44005040304,44005040304,"Census Tract 403.04, Newport County, Rhode Island",2652,176,73,62,284,179,46,43,95,69,90,60,22,32,2042,204
1400000US44005040400,44005040400,"Census Tract 404, Newport County, Rhode Island",6102,341,218,215,87,59,29,32,53,51,81,69,255,234,5379,412
1400000US44005040500,44005040500,"Census Tract 405, Newport County, Rhode Island",5088,509,212,109,533,300,392,204,302,253,930,368,224,196,2495,526
1400000US44005040600,44005040600,"Census Tract 406, Newport County, Rhode Island",4291,556,91,104,235,131,200,162,194,108,145,96,227,306,3199,437
1400000US44005040700,44005040700,"Census Tract 407, Newport County, Rhode Island",3136,356,209,222,108,95,139,119,104,77,223,143,0,13,2353,329
1400000US44005040800,44005040800,"Census Tract 408, Newport County, Rhode Island",2121,248,81,55,107,59,161,142,161,120,34,31,0,13,1577,236
1400000US44005040900,44005040900,"Census Tract 409, Newport County, Rhode Island",3536,326,44,42,138,109,77,63,73,65,58,67,55,36,3091,354
